pericallosal,occipital_sup,oc-temp_med-Parahip,circular_insula_ant,temporalpole,parahippocampal,front_middle,inferiortemporal,collat_transv_post,subcallosal
0.26785496,0.598184474,-0.894231009,-0.706632551,0.581320533,1.385095035,1.784378116,0.76754672,0.144705703,0.992530304
-0.692820365,-0.112479132,-1.107980278,0.791523307,0.924762133,-0.90337126,1.374095309,0.067371696,-1.006362391,1.603515244
0.640116649,0.516381469,-2.139006162,-0.395050279,0.581320533,-1.428115124,-1.307753283,-0.468798367,0.138128171,-0.60986416
-0.276527724,-0.375782554,-0.248792041,0.893961315,-1.330006629,-0.823202059,-0.770716438,1.455105977,-2.137697889,-0.621392178
-0.340572746,-0.47803631,-1.418126276,1.090300829,-1.494261306,-1.464555671,-1.671337234,0.31968702,0.427539578,-1.313073242
0.596085697,1.273059264,-1.03253936,0.223846016,-0.105562666,1.960855664,0.626913612,0.969398979,0.184170895,1.384482907
0.88028548,-0.733670701,-1.79952203,0.663475798,-0.672987917,-0.630067165,-1.58794642,-0.197559394,-0.019732596,-1.532105579
0.608094138,-0.559839315,0.522381791,1.363468848,-0.568462212,1.789585097,-0.74736701,0.351226435,1.045827583,-0.955704692
1.884991758,-1.464785057,-1.489376032,1.593954365,0.431998099,-0.378627396,0.123233092,-0.613879679,0.506469961,0.358489329
-0.580741577,0.590515442,1.083997517,0.590915543,2.149206096,1.053486066,0.526844634,-0.601263913,0.361764258,2.168388113
-0.600755646,-0.334881051,0.325397171,0.13421276,0.118420986,0.321031089,1.557555101,-1.692527688,-0.295988939,-0.137215433
-0.380600884,-0.470367278,0.409220414,-0.890167314,-1.046294003,0.033150775,-1.127629124,0.382765851,-0.73668358,0.25473717
0.435973142,-0.5240505,0.740322222,-0.467610534,0.641049507,0.30645487,-0.530550893,-2.468397309,-1.420746905,-0.264023628
0.784217948,-0.777128547,-0.965480766,0.398844279,-0.434072021,0.882215499,-0.890799211,0.231376656,-0.907699411,0.542937613
2.309290027,-0.810361018,-2.461725647,-1.359674848,0.894897646,-0.404135779,-0.85077162,-2.121463739,-1.650960524,0.485297524
-0.188465819,-0.769459515,-1.066068657,0.100066757,-0.523665482,-0.462440653,-1.411157893,-0.191251511,-0.171015831,-0.367775788
-0.504688114,-1.653954506,1.159438435,0.484209285,-0.672987917,0.667216277,-1.127629124,-1.02389208,0.73668358,-0.125687416
0.21581838,-1.891694489,0.67745479,1.077496078,-0.359410804,1.261197179,-0.660640563,0.407997383,-1.302351329,-0.448471912
0.95233613,-0.667205759,0.803189654,0.475672784,0.118420986,-0.138119792,-0.263700287,1.051401459,-1.190533286,-0.425415877
0.423964701,-0.071577629,-1.233715142,-0.185906013,-0.449004265,-1.679554893,-0.417139385,-1.396057183,0.171015831,-0.183327504
-1.017048287,0.613522537,1.415099325,-1.154798833,0.118420986,0.907723881,-0.520543995,0.042140163,1.032672519,-0.10263138
-1.405321231,-0.056239566,-0.500261769,-0.442001032,0.431998099,0.645351949,1.294040127,-1.263591638,-0.611710473,-0.240967593
-1.253214305,-0.391120617,-1.242097466,-1.769426878,-0.986565029,-1.129302646,0.276672191,-1.560062143,-0.980052263,-0.252495611
-1.009042659,1.267946576,-1.4265086,0.428722031,0.939694376,0.812978461,0.416768759,-1.414980832,0.394651918,1.153922553
-0.81290478,0.161049666,0.782233843,1.320786345,0.626117264,-0.185492502,-0.07356923,-0.563416614,-0.394651918,0.289321223
0.243838077,-0.838480801,-0.969671928,-1.398089101,1.327932706,0.809334407,0.783688343,1.354179848,0.072352852,1.096282464
-0.076387031,0.263303422,1.251644002,1.214080088,-1.539058037,-0.466084707,-0.854107253,0.382765851,-0.184170895,-1.059456852
-1.817611058,-0.071577629,-0.646952444,1.79883038,0.118420986,0.78018197,0.593557286,0.773854603,-1.697003248,0.531409595
0.299877471,0.053683222,-0.194306933,0.28360152,0.431998099,0.412132454,-0.29372098,-0.090325382,1.144490562,0.070288886
-1.197174911,0.16360601,-1.422317438,0.731767803,2.597173399,1.432467745,0.593557286,1.934505093,-0.190748427,0.139456992
0.28786903,-1.339524206,-0.349379932,1.047618326,1.402593923,0.91501199,-1.007546351,-0.304793407,0.118395575,0.25473717
0.72417574,-1.104340567,0.216426956,-1.718207874,1.731103279,-0.134475738,0.179938846,-0.317409173,0.407806982,0.681273826
0.367925307,-0.973967027,-0.102101366,0.023238252,1.447390653,-0.11261141,0.807037771,0.818009785,-0.092085448,1.027114357
-0.124420797,-0.621191569,1.419290487,1.034813575,0.581320533,0.357471635,-0.223672696,0.407997383,-1.256308606,0.877250127
-1.357287465,-0.480592654,-0.047616259,0.070189005,1.103949054,0.175268904,1.891118359,-0.727421574,-0.006577532,0.012648797
-1.049070798,0.86404424,1.415099325,-0.407855029,-0.493800995,1.4361118,1.083895275,0.641389058,0.059197788,0.681273826
0.243838077,0.084359349,-0.177542285,0.82993756,-0.075698179,0.262726215,0.496823941,-0.361564355,-1.23657601,-0.033463274
-0.608761274,2.042518779,-0.185924609,0.377503027,2.940614999,1.793229152,2.815088583,0.603541759,0.730106048,1.753379474
0.331899982,0.662093071,0.308632523,-1.66698887,0.431998099,0.885859554,-0.857442885,-0.866195003,0.644598133,0.796554003
-0.860938547,0.552170283,-0.885848685,-0.41212328,-0.075698179,0.958740646,0.330042312,0.66662059,0.420962046,1.315314801
-0.284533352,-1.045544657,-0.508644093,2.311020417,-0.359410804,1.297637725,-0.41046812,0.407997383,-0.644598133,0.346961311
-0.748859759,0.3144303,1.151056111,0.027506502,-0.478868752,-0.203712775,-0.540557791,-0.651726977,-1.743045971,0.231681134
-1.009042659,-0.235183639,-1.34687652,-0.715169052,0.118420986,0.528742202,-1.357787772,-0.039862317,0.611710473,-0.264023628
-1.80960543,2.006729965,-0.399673878,-0.719437302,1.701238792,1.235688796,0.086541134,0.389073734,0.822191496,0.923362198
0.327897168,-1.955603087,-2.009080136,0.911034316,0.028827526,-1.533792708,-0.547229056,-0.512953549,0.499892429,-0.483055965
-1.561430971,-0.066464942,0.291867874,-0.228588517,0.551456046,-1.584809473,0.123233092,-0.954505366,0.70379592,-0.875008568
-0.668803482,-0.590515442,0.761278033,-0.672486549,0.073624256,-0.797693677,-0.297056612,-0.752653107,-1.966682058,-0.494583983
-0.22048833,-1.395763772,0.530764116,2.063461899,-1.07615849,0.120608085,-0.170302574,-0.424643186,1.157645626,0.335433294
-0.356584001,-0.547057595,0.28348555,0.219577766,-1.524125793,-1.384386469,-1.511226871,0.31968702,-1.019517455,0.162513028
-1.005039845,0.976523371,1.083997517,0.198236514,0.700778481,-0.524389581,-1.267725693,0.042140163,0.144705703,-0.229439575
-1.261219932,0.465254591,0.296059036,-0.429196281,0.118420986,-0.262017649,-0.206994533,-0.582340263,0.532780089,-0.655976231
-0.384603698,-0.539388564,1.104953328,0.266528519,-0.030901448,-0.411423888,0.159925051,0.407997383,-0.111818043,0.358489329
-0.068381403,-0.501043405,-0.7182022,-0.386513778,-0.672987917,-1.708707329,-0.613941707,-0.828347704,1.525987416,0.416129418
1.344611888,-1.201481635,-0.831363577,0.889693064,-0.29968183,-1.675910838,-0.847435988,2.691451065,-0.70379592,0.04723285
2.66554046,1.549144406,0.878630572,0.518355287,-1.344938872,-0.072526809,0.633584877,0.508923513,1.328661457,-2.823243564
0.355916865,1.881469113,0.983409626,-1.022483074,-0.493800995,-1.453623507,0.76701018,1.228022186,0.822191496,0.738913914
-0.496682486,0.242852671,0.983409626,-1.082238578,0.670913994,-0.62642311,-0.714010685,0.811701901,0.618288005,1.142394535
2.421368815,-0.296535893,1.339658407,-1.24870034,-1.046294003,0.018574556,0.059856073,1.865118379,-0.223636087,-2.039338359
1.764907342,2.771076792,0.882821735,1.337859347,-1.016429516,1.319502052,1.240670006,0.407997383,2.30871372,0.808082021
-0.696823179,1.725532135,0.203853469,-0.821875309,-0.001036961,-0.458796598,-0.51387273,-0.727421574,1.736468439,-1.98169827
0.107742406,1.495461184,0.30444136,-0.356636026,-1.344938872,-0.028798154,0.403426229,0.420613149,-0.03288766,-2.604211228
2.457394139,0.148267946,0.518190629,-0.591389793,-0.060765935,-1.573877309,-0.427146283,0.641389058,-1.657538056,-2.431290962
0.608094138,1.423883555,-0.282321338,-2.302958166,-0.852174838,0.725521151,0.153253786,-0.727421574,-0.934009539,-0.171799486
-0.212482702,1.308848079,0.928924518,-0.69809605,1.462322897,-0.480660926,2.318079329,-2.537784024,2.723098234,-1.705025845
-0.488676858,-0.672318447,0.891204059,-1.713939624,-0.956700542,-1.162099138,-1.060916473,-0.336332822,-1.223420946,0.035704833
0.968347385,-1.574707845,-0.009895799,1.508589359,-1.98702534,-0.462440653,0.246651498,-1.030199963,0.09866298,0.900306162
1.05640929,1.357418613,0.622969682,-0.181637763,0.118420986,1.611026421,2.735033401,-0.014630784,-0.124973107,1.361426872
0.956338944,0.557282971,0.547528764,0.55250129,-1.210548681,-1.056421554,-1.194341776,1.593879406,0.532780089,-1.047928834
-0.872946988,-0.375782554,1.000174274,-0.497488286,-0.344478561,-0.866930714,0.330042312,0.370150085,1.881174143,-0.390831823
-0.284533352,-0.322099332,2.052155969,-1.671257121,-0.2548851,1.374162871,0.493488309,0.288147604,0.670908261,0.715857879
1.064414918,0.171275042,-0.366144581,-0.599926293,-1.180684194,-1.034557226,0.433446922,0.546770811,-0.33545413,0.370017347
-0.012342009,0.789910266,0.308632523,-0.932849817,-0.852174838,-0.772185294,1.137265396,1.795731665,0.749838644,-0.494583983
